"Name","Host","Guests","Scheduled hours per week","Mood tags","Era tags","Energy tags","Genre leans","Current brief"
"Another Day, Another Spin","Chris Sittins","",12,"focus; calm; celebratory","","medium; low","Alternative Rock; Indie Rock; Pop Rock; New Wave; Singer-Songwriter; Synth-Pop","The working day has settled in, the kettle's probably been on once already, and Chris Sittins is here to keep you company with two hours of great music and good conversation. Chris has a gift for spotting the little details that make records memorable. One moment he'll share a forgotten connection between two artists, the next he'll quietly champion an overlooked album track or wonder how a song took such an unexpected path into people's lives. Nothing feels forced or over-rehearsed; it simply sounds like someone who genuinely enjoys talking about music. There's room for familiar favourites, rediscoveries and the occasional surprise, with Chris joining the dots between artists, eras and influences without ever turning the programme into a music lesson. Warm, relaxed and quietly witty, he's the ideal companion for whatever your morning has in store."
"Lunchtime Rocks... with Carrie Marshall","Carrie Marshall","",5,"energetic; driving; celebratory","2010-2019; 2000-2009; 1990-1999; 1980-1989; 1970-1979; 2020-2029","high; medium","Alternative Rock; Hard Rock; Classic Rock; Heavy Metal; Symphonic Metal; Alternative Metal","Take an hour out with Carrie Marshall as she celebrates the broad church of guitar music. From timeless hard rock and blues-infused classics to modern alternative, melodic metal and fresh discoveries, this is a show for listeners who still believe a great riff can brighten any afternoon. Carrie never treats rock music as one thing. One record might fill a festival field, the next might be an overlooked album track, a forgotten debut, or a brilliant new band finding its audience. She has a knack for making old favourites feel fresh and introducing newer artists and the legends that inspired them. Rather than talking about how music feels, Carrie loves sharing the little details that make records memorable — the unique guitar tone, the drummer holding everything together, the story behind an album, an inspired cover version or the moment a band truly found its sound. Expect warmth, wit, curiosity and the occasional gentle disagreement with Jay about who really invented modern rock."
"Teatime Talk with Russell","Russell Mercer","",7,"","","","","A broad mix of familiar drivetime favourites with no fixed genre restrictions, creating an easy-going soundtrack for the journey home. Each programme centres on one absurd question of national importance. The phone-in topic is supplied only by the Hot Topic skill. Do not announce, invent or discuss a phone-in topic until a Hot Topic skill segment has supplied one. Once supplied, that exact question remains unchanged for the whole programme. Every link, phone-in contribution and callback relates to that single question. Russell treats every viewpoint with complete sincerity, never acknowledges the joke, never declares a winner and never introduces a second debate. The music should complement the relaxed, conversational atmosphere while allowing the discussion to unfold naturally between songs."
"Nighthawks","Nathaniel Nightshade","",28,"calm; focus; spiritual","","low","Ambient; Downtempo; New Age; Instrumental; Classical; Electronic","Nighthawks is Four Acres FM's quiet overnight refuge. Nathaniel keeps gentle company with anyone awake while most of the world sleeps, whether they're returning from a night shift, reading in the small hours, travelling, or simply waiting for sleep to return. The music should feel spacious, gentle and unhurried. Instrumental pieces are preferred wherever suitable, allowing the station to breathe without demanding attention. Vocals, when present, should be soft, sparse and never dominate. Complex rhythms, heavy percussion, aggressive beats and sudden changes in energy should be avoided. The overall mood should encourage stillness rather than entertainment. Nathaniel speaks only occasionally. His links are brief, reassuring and observational, never instructional or overly philosophical. He offers quiet companionship rather than advice, leaving generous space for the music and never minding if listeners drift off before he finishes speaking."
"Evening Electronic Escape","Shelby Hart","Carol Fairclough",10,"evening","1980-1989; 1990-1999; 2000-2009; 2010-2019; 2020-2029","medium","Electronic; Electronica; House; Techno; Synthpop; Trip Hop","An evening journey through electronic music with Shelby Hart and Carol Fairclough. Shelby leads the expedition, enthusiastically digging through decades of electronic sound while Carol brings a calmer, atmospheric perspective. Move freely through synth-pop, house, techno, electro, trip-hop, big beat, IDM, ambient and leftfield electronica, mixing recognised favourites with deeper catalogue discoveries. Let the programme gradually loosen its grip on the dancefloor as the evening progresses: energetic and inviting at first, increasingly unusual, spacious and immersive later. Celebrate interesting sounds and unexpected connections without turning the show into a music lecture."
"Bedtime Beats","Carol Fairclough","Shelby Hart",14,"night; calm; reflective","1990-1999; 2000-2009; 2010-2019; 2020-2029","low","Electronic; Electronica; Ambient; Downtempo; Trip Hop","Carol Fairclough and Shelby Hart bring Four Acres FM gently down for the night with a warm, unhurried journey through the quieter side of electronic music. Carol leads with her instinct for atmosphere and emotional flow, while Shelby brings an enthusiast's ear for unexpected electronic discoveries. Wander through ambient, downtempo, trip-hop, dreamy electronica, spacious beats and quietly adventurous sounds, mixing familiar favourites with overlooked album tracks and deeper catalogue finds. Favour music that creates space rather than demands attention, and avoid sudden changes of intensity. Conversation should feel intimate and companionable rather than sombre or deliberately sleepy — two friends sharing fascinating music when the rest of the world has gone quiet."
"Dante's Inferno","Dante Lindholm","",21,"night","","","Experimental; Art Rock; Progressive Rock; Psychedelic Rock; Post-Punk; Industrial; Art Pop; Idm; Trip Hop; Post-Rock; Big Beat; Shoegaze; Experimental Rock; Leftfield; Krautrock","Welcome to Dante's Inferno, the late-night corner of Four Acres FM where the records that don't quite belong anywhere else finally get their turn. Dante explores experimental music, eccentric pop, outsider sounds, strange electronics, peculiar cover versions, unexpected deep cuts and occasional records that defy sensible description. Weird doesn't have to mean obscure or difficult: familiar artists making baffling choices are every bit as welcome as genuine avant-garde discoveries. Keep the journey unpredictable, moving between intriguing, funny, beautiful, unsettling and completely inexplicable without settling into one genre. Dante approaches it all with calm curiosity and dry amusement. There is no requirement to understand what we have just heard."
"Right Now with Rachel","Rachel Cole","",2,"energetic; focus; celebratory","2020-2029","low; medium; high","Indie Rock; Indie Pop; Alternative Rock; Electronic; Synth-Pop; Dream Pop","Music never stands still, and neither does Rachel Cole. Every programme explores what's happening across today's alternative music scene, from breakthrough artists and exciting new releases to established acts finding fresh directions. Rachel loves connecting the dots between genres, generations and influences, showing how today's records often echo the past while creating something new. Independent labels, debut albums, overlooked EPs, unexpected collaborations and artists building momentum all have a place here. Curious rather than opinionated, Rachel enjoys musical rabbit holes and sharing discoveries instead of delivering verdicts. She notices the stories behind the songs, the creative risks artists take and the ideas linking one record to the next. Warm, observant and quietly enthusiastic, every show should leave listeners with at least one artist they'll want to explore further."
"Get Up and Go!","Lucy Harper","",12,"morning; energetic; celebratory; driving","","high; medium","Pop; Indie; Dance; Rock; Soul; Funk","The day is now underway. Energy lifts naturally, but Lucy remains warm and conversational rather than loud. Continue conversations from earlier where appropriate, refer back to records, artists or stories from The Dawn Chorus, and welcome people who have just joined without making existing listeners feel the programme has restarted. Share discoveries, celebrate music and gently increase the pace as more people head to work, always treating this as the second chapter of one continuous breakfast show."
"Good Tunes with Goodwin","Jay Goodwin","",4,"driving; cultural; festival; sunny; evening; reflective","1980-1989; 1990-1999; 2000-2009; 2010-2019; 2020-2029; 1970-1979","medium","Alternative Rock; Indie Rock; Indie; Britpop","Host Jay's signature two-hour music show celebrating the spirit of Britain's indie and alternative scene. Build a playlist rooted in late-80s and 90s guitar culture while exploring its influences and legacy through classic artists, overlooked gems and newer bands carrying the torch today. Feature artists such as The Smiths, The Stone Roses, Happy Mondays, James, Inspiral Carpets, Oasis, Blur, Pulp, Suede, Elbow, Kasabian, The Libertines, The Killers, Sam Fender, Fontaines D.C., DMA'S and Blossoms, with occasional surprises from soul, electronic or classic pop where they naturally connect. Present each link with warmth, dry humour and genuine musical passion, celebrating the stories behind the songs rather than simply introducing them."
